NO_DEBLOCK,NO_FAST_PSKIP,NO_MBTREE,NO_MIXED_REFS,NO_WEIGHTB,--rc-lookahead-20,--rc-lookahead-40,--rc-lookahead-60,A,B,C,worker_id,PERF
0,0,1,1,0,0,1,0,0,1,0,75,39.54
0,0,1,1,0,0,0,1,0,0,1,75,52.045
0,0,1,1,0,1,0,0,0,0,1,75,51.95
0,0,1,1,1,1,0,0,1,0,0,75,28.95
0,0,1,1,1,0,0,1,1,0,0,75,29.005
0,0,1,1,1,0,1,0,1,0,0,75,28.935
0,0,1,1,1,0,0,1,0,0,1,75,52.035
0,0,1,1,1,1,0,0,0,0,1,75,52
0,0,1,1,1,0,1,0,0,0,1,75,52.005
0,1,0,0,0,0,1,0,1,0,0,75,24.18
0,1,0,0,0,0,0,1,1,0,0,75,24.245
0,1,0,0,0,1,0,0,0,1,0,75,47.96333333
0,1,0,0,0,0,1,0,0,1,0,75,48.1
0,1,0,0,0,1,0,0,0,0,1,75,68.06
0,1,0,0,0,0,0,1,0,0,1,75,68.13
0,1,0,0,1,1,0,0,1,0,0,75,24.05
0,1,0,0,1,0,1,0,1,0,0,75,24.18
0,1,0,0,1,0,0,1,1,0,0,75,24.24666667
0,1,0,0,1,1,0,0,0,1,0,75,48.01333333
0,1,0,0,1,0,1,0,0,1,0,75,48.04666667
0,1,0,0,1,0,0,1,0,1,0,75,48.13
0,1,0,0,1,0,0,1,0,0,1,75,68.27
0,1,0,1,0,1,0,0,1,0,0,75,24.03666667
0,1,0,1,0,0,0,1,1,0,0,75,24.24
0,1,0,1,0,0,0,1,0,1,0,75,37.58
0,1,0,1,0,0,0,1,0,0,1,75,51.33666667
0,1,0,1,1,1,0,0,1,0,0,75,24.09
0,1,0,1,1,0,1,0,1,0,0,75,24.18
0,1,0,1,1,0,0,1,1,0,0,75,24.285
0,1,0,1,1,0,1,0,0,1,0,75,37.54
0,1,0,1,1,0,0,1,0,1,0,75,37.6825
0,1,0,1,1,1,0,0,0,0,1,75,51.16
0,1,0,1,1,0,1,0,0,0,1,75,51.14666667
0,1,0,1,1,0,0,1,0,0,1,75,51.33
0,1,1,0,0,0,1,0,1,0,0,75,29.44
0,1,1,0,0,1,0,0,1,0,0,75,29.38
0,1,1,0,0,0,1,0,0,1,0,75,57.96
0,1,1,0,0,0,0,1,0,0,1,75,81.53
0,1,1,0,1,0,1,0,1,0,0,75,29.34666667
0,1,1,0,1,1,0,0,0,1,0,75,57.71
0,1,1,0,1,0,0,1,0,1,0,75,57.80333333
0,1,1,0,1,0,1,0,0,1,0,75,57.62
0,1,1,1,0,0,1,0,0,1,0,75,42.58
0,1,1,1,0,1,0,0,0,0,1,75,57.305
0,1,1,1,1,0,0,1,1,0,0,75,29.4
0,1,1,1,1,1,0,0,0,1,0,75,42.56333333
0,1,1,1,1,0,0,1,0,1,0,75,42.5
0,1,1,1,1,0,0,1,0,0,1,75,57.26
1,0,0,0,0,1,0,0,1,0,0,75,22.9
1,0,0,0,0,1,0,0,0,1,0,75,41.92
1,0,0,0,0,0,1,0,0,1,0,75,42.205
1,0,0,0,0,0,0,1,0,1,0,75,42.21
1,0,0,0,0,0,1,0,0,0,1,75,57.96
1,0,0,0,1,1,0,0,1,0,0,75,22.93333333
1,0,0,0,1,0,1,0,1,0,0,75,23.13
1,0,0,0,1,0,0,1,1,0,0,75,23.2
1,0,0,0,1,1,0,0,0,1,0,75,41.95
1,0,0,0,1,0,1,0,0,1,0,75,42.07
1,0,0,0,1,1,0,0,0,0,1,75,58.13
1,0,0,0,1,0,1,0,0,0,1,75,58.185
1,0,0,0,1,0,0,1,0,0,1,75,58.08
1,0,0,1,0,1,0,0,1,0,0,75,22.925
1,0,0,1,0,0,1,0,1,0,0,75,23.07
1,0,0,1,0,0,0,1,1,0,0,75,23.165
1,0,0,1,0,0,1,0,0,1,0,75,31.95
1,0,0,1,0,0,0,1,0,0,1,75,41.59
1,0,0,1,1,1,0,0,1,0,0,75,22.93
1,0,0,1,1,0,1,0,1,0,0,75,23.09
1,0,0,1,1,1,0,0,0,1,0,75,31.81
1,0,0,1,1,1,0,0,0,0,1,75,41.4
1,0,0,1,1,0,0,1,0,0,1,75,41.53
1,0,1,0,0,1,0,0,0,1,0,75,54.79666667
1,0,1,0,0,0,0,1,0,1,0,75,54.89
1,0,1,0,0,0,1,0,0,1,0,75,54.8
1,0,1,0,0,0,0,1,0,0,1,75,76.69333333
1,0,1,0,0,0,1,0,0,0,1,75,76.57333333
1,0,1,0,0,1,0,0,0,0,1,75,76.61
1,0,1,0,1,0,1,0,0,1,0,75,54.79333333
1,0,1,0,1,1,0,0,0,1,0,75,54.76
1,0,1,0,1,0,0,1,0,0,1,75,76.51
1,0,1,0,1,0,1,0,0,0,1,75,76.71666667
1,0,1,1,0,1,0,0,1,0,0,75,28.8
1,0,1,1,0,0,0,1,1,0,0,75,28.81666667
1,0,1,1,0,0,1,0,1,0,0,75,28.79
1,0,1,1,0,0,0,1,0,1,0,75,39.465
1,0,1,1,1,1,0,0,1,0,0,75,28.84
1,0,1,1,1,0,1,0,1,0,0,75,28.83
1,0,1,1,1,0,1,0,0,1,0,75,39.495
1,0,1,1,1,1,0,0,0,1,0,75,39.43333333
1,0,1,1,1,0,0,1,0,1,0,75,39.49
1,1,0,0,0,0,0,1,1,0,0,75,24.02
1,1,0,0,0,1,0,0,0,1,0,75,48.55
1,1,0,0,0,0,1,0,0,1,0,75,48.53
1,1,0,0,0,0,0,1,0,1,0,75,48.61333333
1,1,0,0,0,0,1,0,0,0,1,75,69.01
1,1,0,0,1,1,0,0,1,0,0,75,23.87
1,1,0,0,1,0,1,0,1,0,0,75,23.95
1,1,0,0,1,1,0,0,0,1,0,75,48.51
1,1,0,0,1,0,0,1,0,1,0,75,48.66
1,1,0,0,1,1,0,0,0,0,1,75,68.954
1,1,0,0,1,0,1,0,0,0,1,75,69.17
1,1,0,1,0,1,0,0,1,0,0,75,23.93333333
1,1,0,1,0,0,1,0,1,0,0,75,23.995
1,1,0,1,0,0,0,1,1,0,0,75,24.09
1,1,0,1,0,1,0,0,0,1,0,75,37.33
1,1,0,1,0,0,1,0,0,1,0,75,37.3
1,1,0,1,0,0,0,1,0,1,0,75,37.49
1,1,0,1,0,1,0,0,0,0,1,75,50.885
1,1,0,1,0,0,0,1,0,0,1,75,51.05
1,1,0,1,1,0,0,1,1,0,0,75,24.07
1,1,0,1,1,1,0,0,0,1,0,75,37.32666667
1,1,0,1,1,0,1,0,0,1,0,75,37.43
1,1,0,1,1,0,0,1,0,1,0,75,37.49
1,1,0,1,1,0,1,0,0,0,1,75,51.1
1,1,0,1,1,0,0,1,0,0,1,75,51.11
1,1,1,0,0,1,0,0,0,0,1,75,82.15
1,1,1,0,1,0,1,0,1,0,0,75,29.22
1,1,1,0,1,1,0,0,0,1,0,75,58.085
1,1,1,0,1,0,1,0,0,0,1,75,82.135
1,1,1,0,1,0,0,1,0,0,1,75,82.035
1,1,1,0,1,1,0,0,0,0,1,75,82.61
1,1,1,1,0,0,0,1,0,0,1,75,57.29
1,1,1,1,0,0,1,0,0,0,1,75,57.09
1,1,1,1,0,1,0,0,0,0,1,75,57.14
1,1,1,1,1,0,0,1,1,0,0,75,29.2
1,1,1,1,1,1,0,0,0,1,0,75,42.39
1,1,1,1,1,0,1,0,0,1,0,75,42.42
1,1,1,1,1,0,0,1,0,1,0,75,42.57
1,1,1,1,1,1,0,0,0,0,1,75,57.26
1,1,1,1,1,0,0,1,0,0,1,75,57.20333333
0,0,0,0,0,1,0,0,1,0,0,81,3.362
0,0,0,0,0,0,1,0,1,0,0,81,3.876
0,0,0,0,0,0,0,1,1,0,0,81,4.328
0,0,0,0,0,1,0,0,0,1,0,81,5.886
0,0,0,0,0,0,1,0,0,1,0,81,6.348
0,0,0,0,0,0,0,1,0,1,0,81,6.874
0,0,0,0,0,1,0,0,0,0,1,81,8.296
0,0,0,0,0,0,1,0,0,0,1,81,8.684
0,0,0,0,0,0,0,1,0,0,1,81,9.196
0,0,0,0,1,0,1,0,1,0,0,81,3.924
0,0,0,0,1,1,0,0,0,1,0,81,5.89
0,0,0,0,1,0,1,0,0,0,1,81,8.68
0,0,0,0,1,0,0,1,0,0,1,81,9.204
0,0,0,1,0,0,1,0,1,0,0,81,3.906
0,0,0,1,0,0,0,1,1,0,0,81,4.304
0,0,0,1,0,1,0,0,0,1,0,81,4.434
0,0,0,1,0,0,1,0,0,1,0,81,4.93
0,0,0,1,0,0,0,1,0,1,0,81,5.446
0,0,0,1,0,1,0,0,0,0,1,81,5.886
0,0,0,1,0,0,0,1,0,0,1,81,6.82
0,0,0,1,1,1,0,0,1,0,0,81,3.38
0,0,0,1,1,0,1,0,1,0,0,81,3.878
0,0,0,1,1,0,0,1,1,0,0,81,4.314
0,0,0,1,1,1,0,0,0,1,0,81,4.428
0,0,0,1,1,0,0,1,0,1,0,81,5.412
0,0,0,1,1,0,1,0,0,0,1,81,6.32
0,0,1,0,0,0,0,1,1,0,0,81,3.346
0,0,1,0,0,0,1,0,0,1,0,81,7.058
0,0,1,0,0,0,1,0,0,0,1,81,10.06
0,0,1,0,0,1,0,0,0,0,1,81,10.066
0,0,1,0,0,0,0,1,0,0,1,81,10.07
0,0,1,0,1,0,1,0,1,0,0,81,3.342
0,0,1,0,1,1,0,0,0,0,1,81,10.1
0,0,1,0,1,0,1,0,0,0,1,81,10.066
0,0,1,1,0,1,0,0,1,0,0,81,3.372
0,0,1,1,0,0,1,0,0,1,0,81,4.96
0,0,1,1,0,0,0,1,0,0,1,81,6.704
0,0,1,1,0,1,0,0,0,0,1,81,6.642
0,0,1,1,1,1,0,0,1,0,0,81,3.362
0,0,1,1,1,0,0,1,1,0,0,81,3.368
0,0,1,1,1,0,1,0,1,0,0,81,3.338
0,0,1,1,1,0,0,1,0,0,1,81,6.652
0,0,1,1,1,1,0,0,0,0,1,81,6.682
0,0,1,1,1,0,1,0,0,0,1,81,6.67
0,1,0,0,0,0,1,0,1,0,0,81,3.904
0,1,0,0,0,0,0,1,1,0,0,81,4.334
0,1,0,0,0,1,0,0,0,1,0,81,6.408
0,1,0,0,0,0,1,0,0,1,0,81,6.952
0,1,0,0,0,1,0,0,0,0,1,81,9.122
0,1,0,0,0,0,0,1,0,0,1,81,10.062
0,1,0,0,1,1,0,0,1,0,0,81,3.4
0,1,0,0,1,0,1,0,1,0,0,81,3.932
0,1,0,0,1,0,0,1,1,0,0,81,4.344
0,1,0,0,1,1,0,0,0,1,0,81,6.404
0,1,0,0,1,0,1,0,0,1,0,81,6.902
0,1,0,0,1,0,0,1,0,1,0,81,7.404
0,1,0,0,1,0,0,1,0,0,1,81,10.038
0,1,0,1,0,1,0,0,1,0,0,81,3.354
0,1,0,1,0,0,0,1,1,0,0,81,4.384
0,1,0,1,0,0,0,1,0,1,0,81,5.806
0,1,0,1,0,0,0,1,0,0,1,81,7.476
0,1,0,1,1,1,0,0,1,0,0,81,3.388
0,1,0,1,1,0,1,0,1,0,0,81,3.914
0,1,0,1,1,0,0,1,1,0,0,81,4.362
0,1,0,1,1,0,1,0,0,1,0,81,5.338
0,1,0,1,1,0,0,1,0,1,0,81,5.822
0,1,0,1,1,1,0,0,0,0,1,81,6.564
0,1,0,1,1,0,1,0,0,0,1,81,7.052
0,1,0,1,1,0,0,1,0,0,1,81,7.532
0,1,1,0,0,0,1,0,1,0,0,81,3.388
0,1,1,0,0,1,0,0,1,0,0,81,3.416
0,1,1,0,0,0,1,0,0,1,0,81,7.22
0,1,1,0,0,0,0,1,0,0,1,81,10.322
0,1,1,0,1,0,1,0,1,0,0,81,3.402
0,1,1,0,1,1,0,0,0,1,0,81,7.26
0,1,1,0,1,0,0,1,0,1,0,81,7.29
0,1,1,0,1,0,1,0,0,1,0,81,7.216
0,1,1,1,0,0,1,0,0,1,0,81,5.102
0,1,1,1,0,1,0,0,0,0,1,81,6.844
0,1,1,1,1,0,0,1,1,0,0,81,3.382
0,1,1,1,1,1,0,0,0,1,0,81,5.098
0,1,1,1,1,0,0,1,0,1,0,81,5.07
0,1,1,1,1,0,0,1,0,0,1,81,6.872
1,0,0,0,0,1,0,0,1,0,0,81,3.362
1,0,0,0,0,1,0,0,0,1,0,81,6.008
1,0,0,0,0,0,1,0,0,1,0,81,6.506
1,0,0,0,0,0,0,1,0,1,0,81,7.008
1,0,0,0,0,0,1,0,0,0,1,81,8.942
1,0,0,0,1,1,0,0,1,0,0,81,3.346
1,0,0,0,1,0,1,0,1,0,0,81,3.878
1,0,0,0,1,0,0,1,1,0,0,81,4.334
1,0,0,0,1,1,0,0,0,1,0,81,6.008
1,0,0,0,1,0,1,0,0,1,0,81,6.458
1,0,0,0,1,1,0,0,0,0,1,81,8.454
1,0,0,0,1,0,1,0,0,0,1,81,8.918
1,0,0,0,1,0,0,1,0,0,1,81,9.418
1,0,0,1,0,1,0,0,1,0,0,81,3.364
1,0,0,1,0,0,1,0,1,0,0,81,3.872
1,0,0,1,0,0,0,1,1,0,0,81,4.334
1,0,0,1,0,0,1,0,0,1,0,81,4.956
1,0,0,1,0,0,0,1,0,0,1,81,6.858
1,0,0,1,1,1,0,0,1,0,0,81,3.354
1,0,0,1,1,0,1,0,1,0,0,81,3.874
1,0,0,1,1,1,0,0,0,1,0,81,4.438
1,0,0,1,1,1,0,0,0,0,1,81,5.91
1,0,0,1,1,0,0,1,0,0,1,81,6.9
1,0,1,0,0,1,0,0,0,1,0,81,7.152
1,0,1,0,0,0,0,1,0,1,0,81,7.138
1,0,1,0,0,0,1,0,0,1,0,81,7.112
1,0,1,0,0,0,0,1,0,0,1,81,10.126
1,0,1,0,0,0,1,0,0,0,1,81,10.1
1,0,1,0,0,1,0,0,0,0,1,81,10.148
1,0,1,0,1,0,1,0,0,1,0,81,7.128
1,0,1,0,1,1,0,0,0,1,0,81,7.148
1,0,1,0,1,0,0,1,0,0,1,81,10.154
1,0,1,0,1,0,1,0,0,0,1,81,10.124
1,0,1,1,0,1,0,0,1,0,0,81,3.366
1,0,1,1,0,0,0,1,1,0,0,81,3.356
1,0,1,1,0,0,1,0,1,0,0,81,3.372
1,0,1,1,0,0,0,1,0,1,0,81,4.952
1,0,1,1,1,1,0,0,1,0,0,81,3.352
1,0,1,1,1,0,1,0,1,0,0,81,3.404
1,0,1,1,1,0,1,0,0,1,0,81,4.952
1,0,1,1,1,1,0,0,0,1,0,81,4.974
1,0,1,1,1,0,0,1,0,1,0,81,4.96
1,1,0,0,0,0,0,1,1,0,0,81,4.358
1,1,0,0,0,1,0,0,0,1,0,81,6.522
1,1,0,0,0,0,1,0,0,1,0,81,6.988
1,1,0,0,0,0,0,1,0,1,0,81,7.498
1,1,0,0,0,0,1,0,0,0,1,81,9.794
1,1,0,0,1,1,0,0,1,0,0,81,3.404
1,1,0,0,1,0,1,0,1,0,0,81,3.91
1,1,0,0,1,1,0,0,0,1,0,81,6.524
1,1,0,0,1,0,0,1,0,1,0,81,7.498
1,1,0,0,1,1,0,0,0,0,1,81,9.324
1,1,0,0,1,0,1,0,0,0,1,81,9.79
1,1,0,1,0,1,0,0,1,0,0,81,3.414
1,1,0,1,0,0,1,0,1,0,0,81,3.92
1,1,0,1,0,0,0,1,1,0,0,81,4.36
1,1,0,1,0,1,0,0,0,1,0,81,4.87
1,1,0,1,0,0,1,0,0,1,0,81,5.344
1,1,0,1,0,0,0,1,0,1,0,81,5.854
1,1,0,1,0,1,0,0,0,0,1,81,6.572
1,1,0,1,0,0,0,1,0,0,1,81,7.546
1,1,0,1,1,0,0,1,1,0,0,81,4.398
1,1,0,1,1,1,0,0,0,1,0,81,4.856
1,1,0,1,1,0,1,0,0,1,0,81,5.338
1,1,0,1,1,0,0,1,0,1,0,81,5.84
1,1,0,1,1,0,1,0,0,0,1,81,7.042
1,1,0,1,1,0,0,1,0,0,1,81,7.538
1,1,1,0,0,1,0,0,0,0,1,81,10.35
1,1,1,0,1,0,1,0,1,0,0,81,3.36
1,1,1,0,1,1,0,0,0,1,0,81,7.3
1,1,1,0,1,0,1,0,0,0,1,81,10.422
1,1,1,0,1,0,0,1,0,0,1,81,10.382
1,1,1,0,1,1,0,0,0,0,1,81,10.384
1,1,1,1,0,0,0,1,0,0,1,81,6.91
1,1,1,1,0,0,1,0,0,0,1,81,6.894
1,1,1,1,0,1,0,0,0,0,1,81,6.898
1,1,1,1,1,0,0,1,1,0,0,81,3.358
1,1,1,1,1,1,0,0,0,1,0,81,5.068
1,1,1,1,1,0,1,0,0,1,0,81,5.094
1,1,1,1,1,0,0,1,0,1,0,81,5.082
1,1,1,1,1,1,0,0,0,0,1,81,6.876
1,1,1,1,1,0,0,1,0,0,1,81,6.882
0,0,0,0,0,1,0,0,1,0,0,88,33.835
0,0,0,0,0,0,1,0,1,0,0,88,33.94333333
0,0,0,0,0,0,0,1,1,0,0,88,34.08666667
0,0,0,0,0,1,0,0,0,1,0,88,60.61
0,0,0,0,0,0,1,0,0,1,0,88,60.49333333
0,0,0,0,0,0,0,1,0,1,0,88,60.615
0,0,0,0,0,1,0,0,0,0,1,88,81.39666667
0,0,0,0,0,0,1,0,0,0,1,88,81.69666667
0,0,0,0,0,0,0,1,0,0,1,88,81.8
0,0,0,0,1,0,1,0,1,0,0,88,33.9475
0,0,0,0,1,1,0,0,0,1,0,88,60.6
0,0,0,0,1,0,1,0,0,0,1,88,81.68666667
0,0,0,0,1,0,0,1,0,0,1,88,81.7775
0,0,0,1,0,0,1,0,1,0,0,88,33.94
0,0,0,1,0,0,0,1,1,0,0,88,34.09333333
0,0,0,1,0,1,0,0,0,1,0,88,47.045
0,0,0,1,0,0,1,0,0,1,0,88,47.13
0,0,0,1,0,0,0,1,0,1,0,88,47.24
0,0,0,1,0,1,0,0,0,0,1,88,59.915
0,0,0,1,0,0,0,1,0,0,1,88,60.13
0,0,0,1,1,1,0,0,1,0,0,88,33.825
0,0,0,1,1,0,1,0,1,0,0,88,33.95
0,0,0,1,1,0,0,1,1,0,0,88,34.09
0,0,0,1,1,1,0,0,0,1,0,88,47.01333333
0,0,0,1,1,0,0,1,0,1,0,88,47.26
0,0,0,1,1,0,1,0,0,0,1,88,59.985
0,0,1,0,0,0,0,1,1,0,0,88,42.095
0,0,1,0,0,0,1,0,0,1,0,88,79.07
0,0,1,0,0,0,1,0,0,0,1,88,107.31
0,0,1,0,0,1,0,0,0,0,1,88,107.3466667
0,0,1,0,0,0,0,1,0,0,1,88,107.285
0,0,1,0,1,0,1,0,1,0,0,88,42.09
0,0,1,0,1,1,0,0,0,0,1,88,107.348
0,0,1,0,1,0,1,0,0,0,1,88,107.3125
0,0,1,1,0,1,0,0,1,0,0,88,42.09
0,0,1,1,0,0,1,0,0,1,0,88,57.985
0,0,1,1,0,0,0,1,0,0,1,88,74.022
0,0,1,1,0,1,0,0,0,0,1,88,74.01333333
0,0,1,1,1,1,0,0,1,0,0,88,42.08666667
0,0,1,1,1,0,0,1,1,0,0,88,42.09
0,0,1,1,1,0,1,0,1,0,0,88,42.1
0,0,1,1,1,0,0,1,0,0,1,88,74.0175
0,0,1,1,1,1,0,0,0,0,1,88,74.035
0,0,1,1,1,0,1,0,0,0,1,88,74.05
0,1,0,0,0,0,1,0,1,0,0,88,35.34666667
0,1,0,0,0,0,0,1,1,0,0,88,35.5025
0,1,0,0,0,1,0,0,0,1,0,88,70.41
0,1,0,0,0,0,1,0,0,1,0,88,70.58
0,1,0,0,0,1,0,0,0,0,1,88,97.79
0,1,0,0,0,0,0,1,0,0,1,88,97.92333333
0,1,0,0,1,1,0,0,1,0,0,88,35.15
0,1,0,0,1,0,1,0,1,0,0,88,35.34333333
0,1,0,0,1,0,0,1,1,0,0,88,35.506
0,1,0,0,1,1,0,0,0,1,0,88,70.4
0,1,0,0,1,0,1,0,0,1,0,88,70.5675
0,1,0,0,1,0,0,1,0,1,0,88,70.77
0,1,0,0,1,0,0,1,0,0,1,88,97.9425
0,1,0,1,0,1,0,0,1,0,0,88,35.15666667
0,1,0,1,0,0,0,1,1,0,0,88,35.515
0,1,0,1,0,0,0,1,0,1,0,88,55.82
0,1,0,1,0,0,0,1,0,0,1,88,74.36
0,1,0,1,1,1,0,0,1,0,0,88,35.16
0,1,0,1,1,0,1,0,1,0,0,88,35.345
0,1,0,1,1,0,0,1,1,0,0,88,35.515
0,1,0,1,1,0,1,0,0,1,0,88,55.7125
0,1,0,1,1,0,0,1,0,1,0,88,55.81666667
0,1,0,1,1,1,0,0,0,0,1,88,74.04
0,1,0,1,1,0,1,0,0,0,1,88,74.2
0,1,0,1,1,0,0,1,0,0,1,88,74.35
0,1,1,0,0,0,1,0,1,0,0,88,42.80666667
0,1,1,0,0,1,0,0,1,0,0,88,42.81
0,1,1,0,0,0,1,0,0,1,0,88,84.2475
0,1,1,0,0,0,0,1,0,0,1,88,116.13
0,1,1,0,1,0,1,0,1,0,0,88,42.8
0,1,1,0,1,1,0,0,0,1,0,88,84.23
0,1,1,0,1,0,0,1,0,1,0,88,84.21333333
0,1,1,0,1,0,1,0,0,1,0,88,84.21
0,1,1,1,0,0,1,0,0,1,0,88,62.745
0,1,1,1,0,1,0,0,0,0,1,88,82.2875
0,1,1,1,1,0,0,1,1,0,0,88,42.805
0,1,1,1,1,1,0,0,0,1,0,88,62.75
0,1,1,1,1,0,0,1,0,1,0,88,62.7675
0,1,1,1,1,0,0,1,0,0,1,88,82.27666667
1,0,0,0,0,1,0,0,1,0,0,88,33.61
1,0,0,0,0,1,0,0,0,1,0,88,61.37
1,0,0,0,0,0,1,0,0,1,0,88,61.49
1,0,0,0,0,0,0,1,0,1,0,88,61.5875
1,0,0,0,0,0,1,0,0,0,1,88,83.07
1,0,0,0,1,1,0,0,1,0,0,88,33.62333333
1,0,0,0,1,0,1,0,1,0,0,88,33.81
1,0,0,0,1,0,0,1,1,0,0,88,33.91
1,0,0,0,1,1,0,0,0,1,0,88,61.3575
1,0,0,0,1,0,1,0,0,1,0,88,65.14
1,0,0,0,1,1,0,0,0,0,1,88,83.13
1,0,0,0,1,0,1,0,0,0,1,88,83.045
1,0,0,0,1,0,0,1,0,0,1,88,83.205
1,0,0,1,0,1,0,0,1,0,0,88,33.63
1,0,0,1,0,0,1,0,1,0,0,88,33.80666667
1,0,0,1,0,0,0,1,1,0,0,88,33.93
1,0,0,1,0,0,1,0,0,1,0,88,47.035
1,0,0,1,0,0,0,1,0,0,1,88,60.04333333
1,0,0,1,1,1,0,0,1,0,0,88,33.615
1,0,0,1,1,0,1,0,1,0,0,88,33.81333333
1,0,0,1,1,1,0,0,0,1,0,88,46.885
1,0,0,1,1,1,0,0,0,0,1,88,59.755
1,0,0,1,1,0,0,1,0,0,1,88,60.0475
1,0,1,0,0,1,0,0,0,1,0,88,79.64333333
1,0,1,0,0,0,0,1,0,1,0,88,79.63666667
1,0,1,0,0,0,1,0,0,1,0,88,79.6475
1,0,1,0,0,0,0,1,0,0,1,88,108.31
1,0,1,0,0,0,1,0,0,0,1,88,108.35
1,0,1,0,0,1,0,0,0,0,1,88,108.36
1,0,1,0,1,0,1,0,0,1,0,88,79.635
1,0,1,0,1,1,0,0,0,1,0,88,79.62666667
1,0,1,0,1,0,0,1,0,0,1,88,108.41
1,0,1,0,1,0,1,0,0,0,1,88,108.35
1,0,1,1,0,1,0,0,1,0,0,88,41.995
1,0,1,1,0,0,0,1,1,0,0,88,41.985
1,0,1,1,0,0,1,0,1,0,0,88,41.97666667
1,0,1,1,0,0,0,1,0,1,0,88,57.875
1,0,1,1,1,1,0,0,1,0,0,88,41.96
1,0,1,1,1,0,1,0,1,0,0,88,42
1,0,1,1,1,0,1,0,0,1,0,88,57.89333333
1,0,1,1,1,1,0,0,0,1,0,88,57.925
1,0,1,1,1,0,0,1,0,1,0,88,57.91
1,1,0,0,0,0,0,1,1,0,0,88,35.355
1,1,0,0,0,1,0,0,0,1,0,88,71.116
1,1,0,0,0,0,1,0,0,1,0,88,71.27
1,1,0,0,0,0,0,1,0,1,0,88,71.41
1,1,0,0,0,0,1,0,0,0,1,88,99.33
1,1,0,0,1,1,0,0,1,0,0,88,35.065
1,1,0,0,1,0,1,0,1,0,0,88,35.2375
1,1,0,0,1,1,0,0,0,1,0,88,71.125
1,1,0,0,1,0,0,1,0,1,0,88,71.39
1,1,0,0,1,1,0,0,0,0,1,88,99.184
1,1,0,0,1,0,1,0,0,0,1,88,99.334
1,1,0,1,0,1,0,0,1,0,0,88,35.08
1,1,0,1,0,0,1,0,1,0,0,88,35.235
1,1,0,1,0,0,0,1,1,0,0,88,35.35
1,1,0,1,0,1,0,0,0,1,0,88,55.41
1,1,0,1,0,0,1,0,0,1,0,88,55.5225
1,1,0,1,0,0,0,1,0,1,0,88,55.6525
1,1,0,1,0,1,0,0,0,0,1,88,73.96666667
1,1,0,1,0,0,0,1,0,0,1,88,74.13666667
1,1,0,1,1,0,0,1,1,0,0,88,35.355
1,1,0,1,1,1,0,0,0,1,0,88,55.42333333
1,1,0,1,1,0,1,0,0,1,0,88,55.53333333
1,1,0,1,1,0,0,1,0,1,0,88,55.665
1,1,0,1,1,0,1,0,0,0,1,88,74.02333333
1,1,0,1,1,0,0,1,0,0,1,88,74.145
1,1,1,0,0,1,0,0,0,0,1,88,116.865
1,1,1,0,1,0,1,0,1,0,0,88,42.59
1,1,1,0,1,1,0,0,0,1,0,88,84.775
1,1,1,0,1,0,1,0,0,0,1,88,116.9
1,1,1,0,1,0,0,1,0,0,1,88,116.8766667
1,1,1,0,1,1,0,0,0,0,1,88,116.97
1,1,1,1,0,0,0,1,0,0,1,88,82
